gameid,url,league,year,date,game,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,total cs
TRLH3/76,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/76?gameHash=fdae41209fb2d1ec&amp;tab=overview,EU LCS,2014,1/14/2014 21:28,1,5,Blue,sup,Nyph,Alliance,Thresh,Kassadin,Annie,Orianna,,,2629,0,2,5,3,61
TRLH3/76,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/76?gameHash=fdae41209fb2d1ec&amp;tab=overview,EU LCS,2014,1/14/2014 21:28,1,6,Red,top,sOAZ,Fnatic,Renekton,Yasuo,Elise,LeBlanc,,,2629,1,3,1,7,326
TRLH3/76,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/76?gameHash=fdae41209fb2d1ec&amp;tab=overview,EU LCS,2014,1/14/2014 21:28,1,7,Red,jng,Cyanide,Fnatic,Vi,Yasuo,Elise,LeBlanc,,,2629,1,1,4,4,132
TRLH3/76,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/76?gameHash=fdae41209fb2d1ec&amp;tab=overview,EU LCS,2014,1/14/2014 21:28,1,8,Red,mid,xPeke,Fnatic,Ziggs,Yasuo,Elise,LeBlanc,,,2629,1,3,3,6,465
TRLH3/76,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/76?gameHash=fdae41209fb2d1ec&amp;tab=overview,EU LCS,2014,1/14/2014 21:28,1,9,Red,bot,Rekkles,Fnatic,Jinx,Yasuo,Elise,LeBlanc,,,2629,1,7,0,5,371
TRLH3/76,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/76?gameHash=fdae41209fb2d1ec&amp;tab=overview,EU LCS,2014,1/14/2014 21:28,1,10,Red,sup,YellOwStaR,Fnatic,Leona,Yasuo,Elise,LeBlanc,,,2629,1,1,0,8,21
TRLH3/76,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/76?gameHash=fdae41209fb2d1ec&amp;tab=overview,EU LCS,2014,1/14/2014 21:28,1,100,Blue,team,,Alliance,,Kassadin,Annie,Orianna,,,2629,0,8,15,17,
TRLH3/76,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/76?gameHash=fdae41209fb2d1ec&amp;tab=overview,EU LCS,2014,1/14/2014 21:28,1,200,Red,team,,Fnatic,,Yasuo,Elise,LeBlanc,,,2629,1,15,8,30,
TRLH3/85,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/85?gameHash=aef2ff303f049dd0&amp;tab=overview,EU LCS,2014,1/14/2014 22:37,1,1,Blue,top,Darien,Gambit Gaming,Warwick,Kayle,Annie,Elise,,,1837,1,4,1,10,226
TRLH3/85,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/85?gameHash=aef2ff303f049dd0&amp;tab=overview,EU LCS,2014,1/14/2014 22:37,1,2,Blue,jng,Diamondprox,Gambit Gaming,Lee Sin,Kayle,Annie,Elise,,,1837,1,3,1,13,108
